""	"clade"	"test"	"back"	"pval"	"kval"	"adjusted_p_value"
"207"	"Aves_group4"	"Agelaius_phoeniceus"	"`Melopsittacus_undulatus,Strigops_habroptila,Hirundo_rustica,Parus_major,Cyanistes_caeruleus,Node8,Pseudopodoces_humilis,Node7,Node5,Sturnus_vulgaris,Catharus_ustulatus,Ficedula_albicollis,Node15,Node13,Corvus_moneduloides,Corvus_kubaryi,Node21,Corvus_cornix_cornix,Corvus_brachyrhynchos,Node24,Node20,Taeniopygia_guttata,Lonchura_striata_domestica,Node30,Vidua_chalybeata,Vidua_macroura,Node33,Node29,Corvus_hawaiiensis,Node28,Geospiza_fortis,Camarhynchus_parvulus,Node37,Node27,Node19,Motacilla_alba_alba,Zonotrichia_albicollis,Melozone_crissalis,Node45,Molothrus_ater,Node48,Node44,Serinus_canaria,Node43,Node41,Pyrgilauda_ruficollis,Onychostruthus_taczanowskii,Node53,Passer_montanus,Node52,Node40,Node18,Node12,Node4,Empidonax_traillii,Neopelma_chrysocephalum,Pipra_filicauda,Manacus_vitellinus,Manacus_candei,Node64,Node62,Lepidothrix_coronata,Node61,Node59,Node57,Node3`"	0.0553	1.79	0.874222222222222
"208"	"Aves_group4"	"Camarhynchus_parvulus"	"`Melopsittacus_undulatus,Strigops_habroptila,Hirundo_rustica,Parus_major,Cyanistes_caeruleus,Node8,Pseudopodoces_humilis,Node7,Node5,Sturnus_vulgaris,Catharus_ustulatus,Ficedula_albicollis,Node15,Node13,Corvus_moneduloides,Corvus_kubaryi,Node21,Corvus_cornix_cornix,Corvus_brachyrhynchos,Node24,Node20,Taeniopygia_guttata,Lonchura_striata_domestica,Node30,Vidua_chalybeata,Vidua_macroura,Node33,Node29,Corvus_hawaiiensis,Node28,Geospiza_fortis,Node37,Node27,Node19,Motacilla_alba_alba,Zonotrichia_albicollis,Melozone_crissalis,Node45,Molothrus_ater,Agelaius_phoeniceus,Node48,Node44,Serinus_canaria,Node43,Node41,Pyrgilauda_ruficollis,Onychostruthus_taczanowskii,Node53,Passer_montanus,Node52,Node40,Node18,Node12,Node4,Empidonax_traillii,Neopelma_chrysocephalum,Pipra_filicauda,Manacus_vitellinus,Manacus_candei,Node64,Node62,Lepidothrix_coronata,Node61,Node59,Node57,Node3`"	0.8712	1.38	1
"209"	"Aves_group4"	"Catharus_ustulatus"	"`Melopsittacus_undulatus,Strigops_habroptila,Hirundo_rustica,Parus_major,Cyanistes_caeruleus,Node8,Pseudopodoces_humilis,Node7,Node5,Sturnus_vulgaris,Ficedula_albicollis,Node15,Node13,Corvus_moneduloides,Corvus_kubaryi,Node21,Corvus_cornix_cornix,Corvus_brachyrhynchos,Node24,Node20,Taeniopygia_guttata,Lonchura_striata_domestica,Node30,Vidua_chalybeata,Vidua_macroura,Node33,Node29,Corvus_hawaiiensis,Node28,Geospiza_fortis,Camarhynchus_parvulus,Node37,Node27,Node19,Motacilla_alba_alba,Zonotrichia_albicollis,Melozone_crissalis,Node45,Molothrus_ater,Agelaius_phoeniceus,Node48,Node44,Serinus_canaria,Node43,Node41,Pyrgilauda_ruficollis,Onychostruthus_taczanowskii,Node53,Passer_montanus,Node52,Node40,Node18,Node12,Node4,Empidonax_traillii,Neopelma_chrysocephalum,Pipra_filicauda,Manacus_vitellinus,Manacus_candei,Node64,Node62,Lepidothrix_coronata,Node61,Node59,Node57,Node3`"	0.2087	0.66	0.874222222222222
"210"	"Aves_group4"	"Corvus_brachyrhynchos"	"`Melopsittacus_undulatus,Strigops_habroptila,Hirundo_rustica,Parus_major,Cyanistes_caeruleus,Node8,Pseudopodoces_humilis,Node7,Node5,Sturnus_vulgaris,Catharus_ustulatus,Ficedula_albicollis,Node15,Node13,Corvus_moneduloides,Corvus_kubaryi,Node21,Corvus_cornix_cornix,Node24,Node20,Taeniopygia_guttata,Lonchura_striata_domestica,Node30,Vidua_chalybeata,Vidua_macroura,Node33,Node29,Corvus_hawaiiensis,Node28,Geospiza_fortis,Camarhynchus_parvulus,Node37,Node27,Node19,Motacilla_alba_alba,Zonotrichia_albicollis,Melozone_crissalis,Node45,Molothrus_ater,Agelaius_phoeniceus,Node48,Node44,Serinus_canaria,Node43,Node41,Pyrgilauda_ruficollis,Onychostruthus_taczanowskii,Node53,Passer_montanus,Node52,Node40,Node18,Node12,Node4,Empidonax_traillii,Neopelma_chrysocephalum,Pipra_filicauda,Manacus_vitellinus,Manacus_candei,Node64,Node62,Lepidothrix_coronata,Node61,Node59,Node57,Node3`"	1	0.98	1
"211"	"Aves_group4"	"Corvus_cornix_cornix"	"`Melopsittacus_undulatus,Strigops_habroptila,Hirundo_rustica,Parus_major,Cyanistes_caeruleus,Node8,Pseudopodoces_humilis,Node7,Node5,Sturnus_vulgaris,Catharus_ustulatus,Ficedula_albicollis,Node15,Node13,Corvus_moneduloides,Corvus_kubaryi,Node21,Corvus_brachyrhynchos,Node24,Node20,Taeniopygia_guttata,Lonchura_striata_domestica,Node30,Vidua_chalybeata,Vidua_macroura,Node33,Node29,Corvus_hawaiiensis,Node28,Geospiza_fortis,Camarhynchus_parvulus,Node37,Node27,Node19,Motacilla_alba_alba,Zonotrichia_albicollis,Melozone_crissalis,Node45,Molothrus_ater,Agelaius_phoeniceus,Node48,Node44,Serinus_canaria,Node43,Node41,Pyrgilauda_ruficollis,Onychostruthus_taczanowskii,Node53,Passer_montanus,Node52,Node40,Node18,Node12,Node4,Empidonax_traillii,Neopelma_chrysocephalum,Pipra_filicauda,Manacus_vitellinus,Manacus_candei,Node64,Node62,Lepidothrix_coronata,Node61,Node59,Node57,Node3`"	0.9763	0.28	1
"212"	"Aves_group4"	"Corvus_hawaiiensis"	"`Melopsittacus_undulatus,Strigops_habroptila,Hirundo_rustica,Parus_major,Cyanistes_caeruleus,Node8,Pseudopodoces_humilis,Node7,Node5,Sturnus_vulgaris,Catharus_ustulatus,Ficedula_albicollis,Node15,Node13,Corvus_moneduloides,Corvus_kubaryi,Node21,Corvus_cornix_cornix,Corvus_brachyrhynchos,Node24,Node20,Taeniopygia_guttata,Lonchura_striata_domestica,Node30,Vidua_chalybeata,Vidua_macroura,Node33,Node29,Node28,Geospiza_fortis,Camarhynchus_parvulus,Node37,Node27,Node19,Motacilla_alba_alba,Zonotrichia_albicollis,Melozone_crissalis,Node45,Molothrus_ater,Agelaius_phoeniceus,Node48,Node44,Serinus_canaria,Node43,Node41,Pyrgilauda_ruficollis,Onychostruthus_taczanowskii,Node53,Passer_montanus,Node52,Node40,Node18,Node12,Node4,Empidonax_traillii,Neopelma_chrysocephalum,Pipra_filicauda,Manacus_vitellinus,Manacus_candei,Node64,Node62,Lepidothrix_coronata,Node61,Node59,Node57,Node3`"	0.1083	1.45	0.874222222222222
"213"	"Aves_group4"	"Corvus_kubaryi"	"`Melopsittacus_undulatus,Strigops_habroptila,Hirundo_rustica,Parus_major,Cyanistes_caeruleus,Node8,Pseudopodoces_humilis,Node7,Node5,Sturnus_vulgaris,Catharus_ustulatus,Ficedula_albicollis,Node15,Node13,Corvus_moneduloides,Node21,Corvus_cornix_cornix,Corvus_brachyrhynchos,Node24,Node20,Taeniopygia_guttata,Lonchura_striata_domestica,Node30,Vidua_chalybeata,Vidua_macroura,Node33,Node29,Corvus_hawaiiensis,Node28,Geospiza_fortis,Camarhynchus_parvulus,Node37,Node27,Node19,Motacilla_alba_alba,Zonotrichia_albicollis,Melozone_crissalis,Node45,Molothrus_ater,Agelaius_phoeniceus,Node48,Node44,Serinus_canaria,Node43,Node41,Pyrgilauda_ruficollis,Onychostruthus_taczanowskii,Node53,Passer_montanus,Node52,Node40,Node18,Node12,Node4,Empidonax_traillii,Neopelma_chrysocephalum,Pipra_filicauda,Manacus_vitellinus,Manacus_candei,Node64,Node62,Lepidothrix_coronata,Node61,Node59,Node57,Node3`"	1	0.46	1
"214"	"Aves_group4"	"Corvus_moneduloides"	"`Melopsittacus_undulatus,Strigops_habroptila,Hirundo_rustica,Parus_major,Cyanistes_caeruleus,Node8,Pseudopodoces_humilis,Node7,Node5,Sturnus_vulgaris,Catharus_ustulatus,Ficedula_albicollis,Node15,Node13,Corvus_kubaryi,Node21,Corvus_cornix_cornix,Corvus_brachyrhynchos,Node24,Node20,Taeniopygia_guttata,Lonchura_striata_domestica,Node30,Vidua_chalybeata,Vidua_macroura,Node33,Node29,Corvus_hawaiiensis,Node28,Geospiza_fortis,Camarhynchus_parvulus,Node37,Node27,Node19,Motacilla_alba_alba,Zonotrichia_albicollis,Melozone_crissalis,Node45,Molothrus_ater,Agelaius_phoeniceus,Node48,Node44,Serinus_canaria,Node43,Node41,Pyrgilauda_ruficollis,Onychostruthus_taczanowskii,Node53,Passer_montanus,Node52,Node40,Node18,Node12,Node4,Empidonax_traillii,Neopelma_chrysocephalum,Pipra_filicauda,Manacus_vitellinus,Manacus_candei,Node64,Node62,Lepidothrix_coronata,Node61,Node59,Node57,Node3`"	0.3596	2.19	1
"215"	"Aves_group4"	"Cyanistes_caeruleus"	"`Melopsittacus_undulatus,Strigops_habroptila,Hirundo_rustica,Parus_major,Node8,Pseudopodoces_humilis,Node7,Node5,Sturnus_vulgaris,Catharus_ustulatus,Ficedula_albicollis,Node15,Node13,Corvus_moneduloides,Corvus_kubaryi,Node21,Corvus_cornix_cornix,Corvus_brachyrhynchos,Node24,Node20,Taeniopygia_guttata,Lonchura_striata_domestica,Node30,Vidua_chalybeata,Vidua_macroura,Node33,Node29,Corvus_hawaiiensis,Node28,Geospiza_fortis,Camarhynchus_parvulus,Node37,Node27,Node19,Motacilla_alba_alba,Zonotrichia_albicollis,Melozone_crissalis,Node45,Molothrus_ater,Agelaius_phoeniceus,Node48,Node44,Serinus_canaria,Node43,Node41,Pyrgilauda_ruficollis,Onychostruthus_taczanowskii,Node53,Passer_montanus,Node52,Node40,Node18,Node12,Node4,Empidonax_traillii,Neopelma_chrysocephalum,Pipra_filicauda,Manacus_vitellinus,Manacus_candei,Node64,Node62,Lepidothrix_coronata,Node61,Node59,Node57,Node3`"	0.6594	1.35	1
"216"	"Aves_group4"	"Empidonax_traillii"	"`Melopsittacus_undulatus,Strigops_habroptila,Hirundo_rustica,Parus_major,Cyanistes_caeruleus,Node8,Pseudopodoces_humilis,Node7,Node5,Sturnus_vulgaris,Catharus_ustulatus,Ficedula_albicollis,Node15,Node13,Corvus_moneduloides,Corvus_kubaryi,Node21,Corvus_cornix_cornix,Corvus_brachyrhynchos,Node24,Node20,Taeniopygia_guttata,Lonchura_striata_domestica,Node30,Vidua_chalybeata,Vidua_macroura,Node33,Node29,Corvus_hawaiiensis,Node28,Geospiza_fortis,Camarhynchus_parvulus,Node37,Node27,Node19,Motacilla_alba_alba,Zonotrichia_albicollis,Melozone_crissalis,Node45,Molothrus_ater,Agelaius_phoeniceus,Node48,Node44,Serinus_canaria,Node43,Node41,Pyrgilauda_ruficollis,Onychostruthus_taczanowskii,Node53,Passer_montanus,Node52,Node40,Node18,Node12,Node4,Neopelma_chrysocephalum,Pipra_filicauda,Manacus_vitellinus,Manacus_candei,Node64,Node62,Lepidothrix_coronata,Node61,Node59,Node57,Node3`"	0.8367	1.07	1
