""	"clade"	"test"	"back"	"pval"	"kval"	"adjusted_p_value"
"214"	"Aves_group3"	"Aptenodytes_forsteri"	"`Egretta_garzetta,Pelecanus_crispus,Node6,Fulmarus_glacialis,Node9,Node5,Gavia_stellata,Node4,Phaethon_lepturus,Node3,Balearica_regulorum_gibbericeps,Node2,Calidris_pugnax,Charadrius_vociferus,Node15,Node1,Mesitornis_unicolor,Columba_livia,Node18,Opisthocomus_hoazin`"	0.8313	1.14	0.8313
"215"	"Aves_group3"	"Balearica_regulorum_gibbericeps"	"`Egretta_garzetta,Pelecanus_crispus,Node6,Aptenodytes_forsteri,Fulmarus_glacialis,Node9,Node5,Gavia_stellata,Node4,Phaethon_lepturus,Node3,Node2,Calidris_pugnax,Charadrius_vociferus,Node15,Node1,Mesitornis_unicolor,Columba_livia,Node18,Opisthocomus_hoazin`"	0.026	1.95	0.0822
"216"	"Aves_group3"	"Calidris_pugnax"	"`Egretta_garzetta,Pelecanus_crispus,Node6,Aptenodytes_forsteri,Fulmarus_glacialis,Node9,Node5,Gavia_stellata,Node4,Phaethon_lepturus,Node3,Balearica_regulorum_gibbericeps,Node2,Charadrius_vociferus,Node15,Node1,Mesitornis_unicolor,Columba_livia,Node18,Opisthocomus_hoazin`"	0.0274	0.07	0.0822
"217"	"Aves_group3"	"Charadrius_vociferus"	"`Egretta_garzetta,Pelecanus_crispus,Node6,Aptenodytes_forsteri,Fulmarus_glacialis,Node9,Node5,Gavia_stellata,Node4,Phaethon_lepturus,Node3,Balearica_regulorum_gibbericeps,Node2,Calidris_pugnax,Node15,Node1,Mesitornis_unicolor,Columba_livia,Node18,Opisthocomus_hoazin`"	0.1392	0.05	0.238628571428571
"218"	"Aves_group3"	"Columba_livia"	"`Egretta_garzetta,Pelecanus_crispus,Node6,Aptenodytes_forsteri,Fulmarus_glacialis,Node9,Node5,Gavia_stellata,Node4,Phaethon_lepturus,Node3,Balearica_regulorum_gibbericeps,Node2,Calidris_pugnax,Charadrius_vociferus,Node15,Node1,Mesitornis_unicolor,Node18,Opisthocomus_hoazin`"	0.0085	1.49	0.0756
"219"	"Aves_group3"	"Egretta_garzetta"	"`Pelecanus_crispus,Node6,Aptenodytes_forsteri,Fulmarus_glacialis,Node9,Node5,Gavia_stellata,Node4,Phaethon_lepturus,Node3,Balearica_regulorum_gibbericeps,Node2,Calidris_pugnax,Charadrius_vociferus,Node15,Node1,Mesitornis_unicolor,Columba_livia,Node18,Opisthocomus_hoazin`"	0.0126	0	0.0756
"220"	"Aves_group3"	"Fulmarus_glacialis"	"`Egretta_garzetta,Pelecanus_crispus,Node6,Aptenodytes_forsteri,Node9,Node5,Gavia_stellata,Node4,Phaethon_lepturus,Node3,Balearica_regulorum_gibbericeps,Node2,Calidris_pugnax,Charadrius_vociferus,Node15,Node1,Mesitornis_unicolor,Columba_livia,Node18,Opisthocomus_hoazin`"	0.0878	0.04	0.21072
"221"	"Aves_group3"	"Gavia_stellata"	"`Egretta_garzetta,Pelecanus_crispus,Node6,Aptenodytes_forsteri,Fulmarus_glacialis,Node9,Node5,Node4,Phaethon_lepturus,Node3,Balearica_regulorum_gibbericeps,Node2,Calidris_pugnax,Charadrius_vociferus,Node15,Node1,Mesitornis_unicolor,Columba_livia,Node18,Opisthocomus_hoazin`"	0.3365	0.54	0.448666666666667
"222"	"Aves_group3"	"Mesitornis_unicolor"	"`Egretta_garzetta,Pelecanus_crispus,Node6,Aptenodytes_forsteri,Fulmarus_glacialis,Node9,Node5,Gavia_stellata,Node4,Phaethon_lepturus,Node3,Balearica_regulorum_gibbericeps,Node2,Calidris_pugnax,Charadrius_vociferus,Node15,Node1,Columba_livia,Node18,Opisthocomus_hoazin`"	0.1276	13.72	0.238628571428571
"223"	"Aves_group3"	"Opisthocomus_hoazin"	"`Egretta_garzetta,Pelecanus_crispus,Node6,Aptenodytes_forsteri,Fulmarus_glacialis,Node9,Node5,Gavia_stellata,Node4,Phaethon_lepturus,Node3,Balearica_regulorum_gibbericeps,Node2,Calidris_pugnax,Charadrius_vociferus,Node15,Node1,Mesitornis_unicolor,Columba_livia,Node18`"	0.5394	1.27	0.64728
"224"	"Aves_group3"	"Pelecanus_crispus"	"`Egretta_garzetta,Node6,Aptenodytes_forsteri,Fulmarus_glacialis,Node9,Node5,Gavia_stellata,Node4,Phaethon_lepturus,Node3,Balearica_regulorum_gibbericeps,Node2,Calidris_pugnax,Charadrius_vociferus,Node15,Node1,Mesitornis_unicolor,Columba_livia,Node18,Opisthocomus_hoazin`"	0.221	0.23	0.3315
"225"	"Aves_group3"	"Phaethon_lepturus"	"`Egretta_garzetta,Pelecanus_crispus,Node6,Aptenodytes_forsteri,Fulmarus_glacialis,Node9,Node5,Gavia_stellata,Node4,Node3,Balearica_regulorum_gibbericeps,Node2,Calidris_pugnax,Charadrius_vociferus,Node15,Node1,Mesitornis_unicolor,Columba_livia,Node18,Opisthocomus_hoazin`"	0.7742	3.7	0.8313
