Codon	Partition	alpha	beta_plus	p_plus	LRT	pValue	Species
24	1	0.000	10000.000...	1.000	5.621	0.0274	Phaethon_lepturus
72	1	9.007	10000.000...	1.000	8.031	0.0080	Phaethon_lepturus
93	1	0.000	10000.000...	1.000	17.642	0.0001	Phaethon_lepturus
104	1	1.623	10000.000...	1.000	5.036	0.0370	Phaethon_lepturus
128	1	1.174	10000.000...	1.000	17.167	0.0001	Phaethon_lepturus
142	1	1.389	10000.000...	1.000	8.611	0.0060	Phaethon_lepturus
184	1	0.000	10000.000...	1.000	3.679	0.0748	Phaethon_lepturus
189	1	2.952	10000.000...	1.000	15.596	0.0002	Phaethon_lepturus
199	1	2.883	10000.000...	1.000	6.468	0.0177	Phaethon_lepturus
238	1	0.000	10000.000...	1.000	5.345	0.0316	Phaethon_lepturus
323	1	2.366	10000.000...	1.000	9.758	0.0033	Phaethon_lepturus
342	1	0.000	10000.000...	1.000	8.827	0.0053	Phaethon_lepturus
349	1	1.241	10000.000...	1.000	17.104	0.0001	Phaethon_lepturus
399	1	0.000	10000.000...	1.000	12.013	0.0011	Phaethon_lepturus
427	1	0.000	10000.000...	1.000	14.965	0.0002	Phaethon_lepturus
445	1	0.000	10000.000...	1.000	10.354	0.0025	Phaethon_lepturus
482	1	0.000	10000.000...	1.000	6.144	0.0209	Phaethon_lepturus
542	1	0.000	10000.000...	1.000	14.000	0.0004	Phaethon_lepturus
546	1	0.000	10000.000...	1.000	7.189	0.0123	Phaethon_lepturus
594	1	2.310	10000.000...	1.000	14.680	0.0003	Phaethon_lepturus
595	1	0.000	10000.000...	1.000	10.107	0.0028	Phaethon_lepturus
661	1	2.549	10000.000...	1.000	9.166	0.0045	Phaethon_lepturus
670	1	2.607	10000.000...	1.000	15.883	0.0002	Phaethon_lepturus
671	1	3.612	10000.000...	1.000	15.235	0.0002	Phaethon_lepturus
