Codon	Partition	alpha	beta_plus	p_plus	LRT	pValue	Species
224	1	0.000	10000.000...	1.000	3.133	0.0996	Plectropomus_leopardus
228	1	2.061	10000.000...	1.000	6.730	0.0155	Plectropomus_leopardus
233	1	1.646	10000.000...	1.000	3.799	0.0703	Plectropomus_leopardus
237	1	1.459	10000.000...	1.000	5.442	0.0300	Plectropomus_leopardus
241	1	0.513	10000.000...	1.000	16.877	0.0001	Plectropomus_leopardus
253	1	1.872	10000.000...	1.000	6.355	0.0188	Plectropomus_leopardus
279	1	0.000	10000.000...	1.000	9.675	0.0035	Plectropomus_leopardus
293	1	0.771	10000.000...	1.000	18.257	0.0000	Plectropomus_leopardus
316	1	1.368	10000.000...	1.000	7.824	0.0089	Plectropomus_leopardus
322	1	0.682	10000.000...	1.000	6.725	0.0156	Plectropomus_leopardus
342	1	0.000	10000.000...	1.000	9.714	0.0034	Plectropomus_leopardus
350	1	1.913	10000.000...	1.000	16.622	0.0001	Plectropomus_leopardus
352	1	0.000	10000.000...	1.000	4.101	0.0600	Plectropomus_leopardus
353	1	0.682	10000.000...	1.000	9.155	0.0045	Plectropomus_leopardus
364	1	1.457	10000.000...	1.000	7.751	0.0092	Plectropomus_leopardus
393	1	1.312	10000.000...	1.000	5.611	0.0275	Plectropomus_leopardus
404	1	1.834	10000.000...	1.000	7.003	0.0135	Plectropomus_leopardus
406	1	0.000	10000.000...	1.000	14.227	0.0003	Plectropomus_leopardus
410	1	1.383	10000.000...	1.000	8.096	0.0077	Plectropomus_leopardus
413	1	4.413	10000.000...	1.000	6.510	0.0174	Plectropomus_leopardus
419	1	1.713	10000.000...	1.000	8.145	0.0075	Plectropomus_leopardus
420	1	0.607	10000.000...	1.000	5.243	0.0333	Plectropomus_leopardus
443	1	0.524	10000.000...	1.000	6.028	0.0222	Plectropomus_leopardus
451	1	3.215	10000.000...	1.000	6.523	0.0173	Plectropomus_leopardus
456	1	0.000	10000.000...	1.000	67.294	0.0000	Plectropomus_leopardus
465	1	0.853	10000.000...	1.000	5.886	0.0239	Plectropomus_leopardus
467	1	0.809	10000.000...	1.000	4.162	0.0582	Plectropomus_leopardus
496	1	0.650	10000.000...	1.000	7.974	0.0082	Plectropomus_leopardus
558	1	0.000	10000.000...	1.000	6.758	0.0153	Plectropomus_leopardus
580	1	0.656	10000.000...	1.000	6.606	0.0165	Plectropomus_leopardus
581	1	1.210	10000.000...	1.000	5.670	0.0267	Plectropomus_leopardus
587	1	1.210	10000.000...	1.000	3.921	0.0659	Plectropomus_leopardus
597	1	2.639	10000.000...	1.000	9.633	0.0035	Plectropomus_leopardus
604	1	0.311	10000.000...	1.000	19.675	0.0000	Plectropomus_leopardus
606	1	1.085	10000.000...	1.000	6.036	0.0221	Plectropomus_leopardus
611	1	0.631	10000.000...	1.000	10.342	0.0025	Plectropomus_leopardus
621	1	0.000	10000.000...	1.000	8.777	0.0055	Plectropomus_leopardus
637	1	1.364	10000.000...	1.000	7.846	0.0088	Plectropomus_leopardus
638	1	1.013	10000.000...	1.000	17.782	0.0001	Plectropomus_leopardus
654	1	1.054	10000.000...	1.000	6.077	0.0217	Plectropomus_leopardus
672	1	0.659	10000.000...	1.000	9.730	0.0034	Plectropomus_leopardus
674	1	1.311	10000.000...	1.000	10.358	0.0025	Plectropomus_leopardus
682	1	0.355	10000.000...	1.000	22.090	0.0000	Plectropomus_leopardus
691	1	0.000	10000.000...	1.000	8.171	0.0074	Plectropomus_leopardus
708	1	2.465	10000.000...	1.000	3.801	0.0702	Plectropomus_leopardus
732	1	0.322	10000.000...	1.000	4.747	0.0430	Plectropomus_leopardus
737	1	1.087	10000.000...	1.000	8.760	0.0055	Plectropomus_leopardus
740	1	0.646	10000.000...	1.000	6.896	0.0143	Plectropomus_leopardus
757	1	0.444	10000.000...	1.000	18.959	0.0000	Plectropomus_leopardus
762	1	1.180	10000.000...	1.000	3.609	0.0776	Plectropomus_leopardus
767	1	0.465	10000.000...	1.000	5.034	0.0370	Plectropomus_leopardus
778	1	1.059	10000.000...	1.000	5.404	0.0306	Plectropomus_leopardus
779	1	1.666	10000.000...	1.000	16.656	0.0001	Plectropomus_leopardus
782	1	1.359	10000.000...	1.000	7.339	0.0114	Plectropomus_leopardus
784	1	0.000	10000.000...	1.000	10.146	0.0027	Plectropomus_leopardus
795	1	0.791	10000.000...	1.000	8.281	0.0070	Plectropomus_leopardus
797	1	1.029	10000.000...	1.000	4.338	0.0531	Plectropomus_leopardus
800	1	0.000	10000.000...	1.000	8.214	0.0073	Plectropomus_leopardus
808	1	0.000	10000.000...	1.000	9.633	0.0035	Plectropomus_leopardus
819	1	1.627	10000.000...	1.000	33.637	0.0000	Plectropomus_leopardus
830	1	0.815	10000.000...	1.000	9.938	0.0030	Plectropomus_leopardus
835	1	3.785	10000.000...	1.000	7.833	0.0088	Plectropomus_leopardus
